month,commodity_name,avg_modal_price
2010-01-01,turmeric,9507.19
2010-01-01,maize,901.75
2010-01-01,ginger(dry),2978.23
2010-01-01,groundnut,2666.46
2010-01-01,sunflower,2250.97
2010-01-01,sugar,4077.06
2010-01-01,tea,16733.33
2010-01-01,rice,1874.0
2010-01-01,wheat,1424.16
2010-01-01,coconut,3169.0
2010-01-01,coffee,8079.17
2010-01-01,jowar(sorghum),1070.84
2010-01-01,barley (jau),902.88
2010-01-01,cotton,3172.9
2010-01-01,millets,818.75
2010-02-01,millets,766.67
2010-02-01,sugar,3981.63
2010-02-01,jowar(sorghum),1071.44
2010-02-01,sugarcane,180.0
2010-02-01,cotton,3097.7
2010-02-01,rice,1874.94
2010-02-01,maize,900.92
2010-02-01,turmeric,9165.23
2010-02-01,barley (jau),899.37
2010-02-01,coffee,6629.17
2010-02-01,sunflower,2198.7
2010-02-01,coconut,15745.7
2010-02-01,tea,17752.73
2010-02-01,wheat,1364.98
2010-02-01,ginger(dry),2964.8
2010-02-01,groundnut,2696.37
2010-03-01,sugar,3560.05
2010-03-01,wheat,1266.79
2010-03-01,millets,787.5
2010-03-01,coffee,5723.04
2010-03-01,maize,892.99
2010-03-01,barley (jau),948.36
2010-03-01,turmeric,9558.45
2010-03-01,ginger(dry),3954.98
2010-03-01,tea,17678.79
2010-03-01,jowar(sorghum),1055.99
2010-03-01,groundnut,2721.83
2010-03-01,rice,1864.36
2010-03-01,cotton,3130.93
2010-03-01,sunflower,2195.11
2010-03-01,sugarcane,451.0
2010-03-01,coconut,2988.44
2010-04-01,maize,904.26
2010-04-01,rice,1861.71
2010-04-01,ginger(dry),3671.48
2010-04-01,coconut,3126.97
2010-04-01,sugarcane,586.25
2010-04-01,tea,17628.26
2010-04-01,groundnut,2763.51
2010-04-01,barley (jau),865.53
2010-04-01,cotton,3118.54
2010-04-01,wheat,1204.13
2010-04-01,turmeric,11561.25
2010-04-01,sunflower,2114.54
2010-04-01,sugar,3211.66
2010-04-01,coffee,6192.59
2010-04-01,jowar(sorghum),1094.63
2010-05-01,tea,17046.03
2010-05-01,rice,1882.14
2010-05-01,ginger(dry),4494.43
2010-05-01,wheat,1213.96
2010-05-01,coffee,7188.64
2010-05-01,sunflower,2109.68
2010-05-01,groundnut,2764.5
2010-05-01,barley (jau),906.9
2010-05-01,turmeric,14399.68
2010-05-01,maize,903.84
2010-05-01,coconut,3093.35
2010-05-01,jowar(sorghum),1184.4
2010-05-01,sugarcane,322.5
2010-05-01,sugar,3088.43
2010-05-01,cotton,2928.14
2010-06-01,tea,16904.0
2010-06-01,coffee,7720.27
2010-06-01,jowar(sorghum),1353.69
2010-06-01,wheat,1239.27
2010-06-01,turmeric,14923.83
2010-06-01,barley (jau),949.5
2010-06-01,sugarcane,1402.0
2010-06-01,rice,1913.83
2010-06-01,sugar,2961.06
2010-06-01,sunflower,2167.82
2010-06-01,ginger(dry),4894.38
2010-06-01,coconut,3073.12
2010-06-01,millets,1050.0
2010-06-01,maize,948.83
2010-06-01,groundnut,2936.68
2010-06-01,cotton,3033.98
2010-07-01,cotton,3090.6
2010-07-01,sunflower,2313.95
2010-07-01,coffee,9836.51
2010-07-01,jowar(sorghum),1357.22
2010-07-01,groundnut,3140.09
2010-07-01,tea,16932.69
2010-07-01,wheat,1243.06
2010-07-01,maize,990.22
2010-07-01,sugarcane,1412.5
2010-07-01,rice,1972.95
2010-07-01,millets,843.18
2010-07-01,ginger(dry),4843.45
2010-07-01,coconut,2995.53
2010-07-01,sugar,2965.9
2010-07-01,barley (jau),982.74
2010-07-01,turmeric,15209.33
